Delta Time, Position, Velocity, Acceleration, Jerk, 
20, 0.000020, 0.001972, 0.098596, 4.929804, 
20, 0.000099, 0.003944, 0.098596, 0.000000, 
20, 0.000276, 0.008874, 0.246490, 7.394707, 
20, 0.000592, 0.015775, 0.345086, 4.929804, 
20, 0.001085, 0.024649, 0.443682, 4.929804, 
20, 0.001794, 0.035495, 0.542278, 4.929804, 
20, 0.002761, 0.048312, 0.640875, 4.929804, 
20, 0.004023, 0.063101, 0.739471, 4.929804, 
20, 0.005620, 0.079863, 0.838067, 4.929804, 
20, 0.007592, 0.098596, 0.936663, 4.929804, 
20, 0.009978, 0.119301, 1.035259, 4.929804, 
20, 0.012817, 0.141978, 1.133855, 4.929804, 
20, 0.016150, 0.166627, 1.232451, 4.929804, 
20, 0.020015, 0.193248, 1.331047, 4.929804, 
20, 0.024452, 0.221841, 1.429643, 4.929804, 
20, 0.029500, 0.252406, 1.528239, 4.929804, 
20, 0.035199, 0.284943, 1.626835, 4.929804, 
20, 0.041588, 0.319451, 1.725432, 4.929804, 
20, 0.048706, 0.355932, 1.824028, 4.929804, 
20, 0.056594, 0.394384, 1.922624, 4.929804, 
20, 0.065290, 0.434809, 2.021220, 4.929804, 
20, 0.074834, 0.477205, 2.119816, 4.929804, 
20, 0.085266, 0.521573, 2.218412, 4.929804, 
20, 0.096624, 0.567913, 2.317008, 4.929804, 
20, 0.108949, 0.616226, 2.415604, 4.929804, 
20, 0.122279, 0.666510, 2.514200, 4.929804, 
20, 0.136654, 0.718765, 2.612796, 4.929804, 
20, 0.152114, 0.772993, 2.711392, 4.929804, 
20, 0.168698, 0.829193, 2.809988, 4.929804, 
20, 0.186445, 0.887365, 2.908585, 4.929804, 
20, 0.205376, 0.946522, 2.957883, 2.464902, 
20, 0.225489, 1.005680, 2.957883, 0.000000, 
20, 0.246786, 1.064838, 2.957883, -0.000000, 
20, 0.269266, 1.123995, 2.957883, 0.000000, 
20, 0.292929, 1.183153, 2.957883, -0.000000, 
20, 0.317775, 1.242311, 2.957883, -0.000000, 
20, 0.343805, 1.301468, 2.957883, 0.000000, 
20, 0.371017, 1.360626, 2.957883, -0.000000, 
20, 0.399413, 1.419784, 2.957883, -0.000000, 
20, 0.428992, 1.478941, 2.957883, 0.000000, 
20, 0.459754, 1.538099, 2.957883, 0.000000, 
20, 0.491699, 1.597257, 2.957883, -0.000000, 
20, 0.524827, 1.656414, 2.957883, 0.000000, 
20, 0.559138, 1.715572, 2.957883, -0.000000, 
20, 0.594633, 1.774730, 2.957883, -0.000000, 
20, 0.631311, 1.833887, 2.957883, 0.000000, 
20, 0.669172, 1.893045, 2.957883, -0.000000, 
20, 0.708216, 1.952203, 2.957883, 0.000000, 
20, 0.748443, 2.011360, 2.957883, 0.000000, 
20, 0.789853, 2.070518, 2.957883, -0.000000, 
20, 0.832447, 2.129675, 2.957883, -0.000000, 
20, 0.876223, 2.188833, 2.957883, 0.000000, 
20, 0.921164, 2.247005, 2.908585, -2.464902, 
20, 0.967228, 2.303205, 2.809988, -4.929804, 
20, 1.014366, 2.356932, 2.686392, -6.179804, 
20, 1.062560, 2.409688, 2.637796, -2.429804, 
20, 1.111759, 2.459972, 2.514200, -6.179804, 
20, 1.161925, 2.508284, 2.415604, -4.929804, 
20, 1.213018, 2.554625, 2.317008, -4.929804, 
20, 1.264998, 2.598993, 2.218412, -4.929804, 
20, 1.317825, 2.641389, 2.119816, -4.929804, 
20, 1.371462, 2.681814, 2.021220, -4.929804, 
20, 1.425867, 2.720266, 1.922624, -4.929804, 
20, 1.481002, 2.756747, 1.824028, -4.929804, 
20, 1.536827, 2.791255, 1.725432, -4.929804, 
