dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.425269,45.074918,0.000500,0.050000,2.500000,125.000000,6.281859
0.020000,6.425014,45.074919,0.000754,0.012719,-1.864070,-218.203505,6.281873
0.020000,6.424442,45.074919,0.001327,0.028617,0.794921,132.949573,6.281905
0.020000,6.423424,45.074921,0.002344,0.050875,1.112915,15.899684,6.281961
0.020000,6.421834,45.074923,0.003934,0.079494,1.430947,15.901610,6.282049
0.020000,6.419545,45.074925,0.006224,0.114475,1.749042,15.904758,6.282177
0.020000,6.416429,45.074928,0.009340,0.155820,2.067231,15.909426,6.282350
0.020000,6.412358,45.074931,0.013411,0.203531,2.385549,15.915901,6.282576
0.020000,6.407206,45.074933,0.018563,0.257611,2.704038,15.924461,6.282862
0.020000,6.405131,45.074934,0.020637,0.103714,-7.694888,-519.946326,0.000030
0.020000,6.457945,45.074947,0.073450,2.640655,126.847082,6727.098537,0.000458
0.020000,6.520777,45.074992,0.136283,3.141617,25.048092,-5089.949498,0.000967
0.020000,6.594511,45.075085,0.210017,3.686730,27.255658,110.378277,0.001565
0.020000,6.680027,45.075249,0.295533,4.275789,29.452948,109.864489,0.002259
0.020000,6.778182,45.075510,0.393688,4.907766,31.598830,107.294090,0.003056
0.020000,6.889838,45.075901,0.505345,5.582845,33.753975,107.757249,0.003963
0.020000,7.015895,45.076466,0.631403,6.302913,36.003383,112.470442,0.004988
0.020000,7.157192,45.077252,0.772702,7.064935,38.101114,104.886552,0.006139
0.020000,7.314598,45.078319,0.930112,7.870483,40.277375,108.813039,0.007421
0.020000,7.488979,45.079737,1.104498,8.719333,42.442496,108.256031,0.008844
0.020000,7.681194,45.081588,1.296723,9.611227,44.594704,107.610405,0.010415
0.020000,7.892111,45.083967,1.507653,10.546516,46.764476,108.488614,0.012141
0.020000,8.122598,45.086983,1.738160,11.525324,48.940395,108.795932,0.014030
0.020000,8.373480,45.090761,1.989071,12.545544,51.011002,103.530346,0.016090
