dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.401390,27.074934,0.000500,0.050000,2.500000,125.000000,6.281859
0.020000,6.401390,27.074934,0.002500,0.150000,5.000000,125.000000,6.281873
0.020000,6.401390,27.074934,0.007000,0.300000,7.500000,125.000000,6.281905
0.020000,6.401390,27.074934,0.015000,0.500000,10.000000,125.000000,6.281961
0.020000,6.401390,27.074934,0.027500,0.750000,12.500000,125.000000,6.282049
0.020000,6.401390,27.074934,0.045500,1.050000,15.000000,125.000000,6.282177
0.020000,6.401390,27.074934,0.070000,1.400000,17.500000,125.000000,6.282350
0.020000,6.401390,27.074934,0.102000,1.800000,20.000000,125.000000,6.282576
0.020000,6.401390,27.074934,0.142500,2.250000,22.500000,125.000000,6.282862
0.020000,6.405677,27.074934,0.192500,2.750000,25.000000,125.000000,0.000030
0.020000,6.466191,27.074949,0.253000,3.300000,27.500000,125.000000,0.000458
0.020000,6.538189,27.075000,0.325000,3.900000,30.000000,125.000000,0.000967
0.020000,6.622685,27.075107,0.409500,4.550000,32.500000,125.000000,0.001565
0.020000,6.720689,27.075295,0.507500,5.250000,35.000000,125.000000,0.002259
0.020000,6.833189,27.075594,0.620000,6.000000,37.500000,125.000000,0.003056
0.020000,6.961175,27.076043,0.748000,6.800000,40.000000,125.000000,0.003963
0.020000,7.105685,27.076690,0.892500,7.650000,42.500000,125.000000,0.004988
0.020000,7.267686,27.077591,1.054500,8.550000,45.000000,125.000000,0.006139
0.020000,7.448182,27.078815,1.235000,9.500000,47.500000,125.000000,0.007421
0.020000,7.648174,27.080441,1.435000,10.500000,50.000000,125.000000,0.008844
0.020000,7.868659,27.082564,1.655500,11.550000,52.500000,125.000000,0.010415
0.020000,8.110640,27.085293,1.897500,12.650000,55.000000,125.000000,0.012141
0.020000,8.375127,27.088754,2.162000,13.800000,57.500000,125.000000,0.014030
0.020000,8.663082,27.093091,2.450000,15.000000,60.000000,125.000000,0.016090
0.020000,8.975544,27.098469,2.762500,16.250000,62.500000,125.000000,0.018328
0.020000,9.313482,27.105073,3.100500,17.550000,65.000000,125.000000,0.020754
0.020000,9.677894,27.113115,3.465000,18.900000,67.500000,125.000000,0.023375
0.020000,10.069772,27.122830,3.857000,20.300000,70.000000,125.000000,0.026198
0.020000,10.490101,27.134483,4.277500,21.750000,72.500000,125.000000,0.029234
0.020000,10.939894,27.148368,4.727500,23.250000,75.000000,125.000000,0.032489
0.020000,11.420103,27.164812,5.208000,24.800000,77.500000,125.000000,0.035973
0.020000,11.931745,27.184178,5.720000,26.400000,80.000000,125.000000,0.039694
0.020000,12.475772,27.206865,6.264500,28.050000,82.500000,125.000000,0.043661
0.020000,13.053162,27.233311,6.842500,29.750000,85.000000,125.000000,0.047883
0.020000,13.664890,27.264000,7.455000,31.500000,87.500000,125.000000,0.052369
0.020000,14.311924,27.299459,8.103000,33.300000,90.000000,125.000000,0.057128
0.020000,14.995207,27.340263,8.787500,35.150000,92.500000,125.000000,0.062169
0.020000,15.715689,27.387040,9.509500,37.050000,95.000000,125.000000,0.067501
0.020000,16.474308,27.440472,10.270000,39.000000,97.500000,125.000000,0.073134
0.020000,17.271978,27.501295,11.070000,41.000000,100.000000,125.000000,0.079077
0.020000,18.109650,27.570313,11.910500,43.050000,102.500000,125.000000,0.085338
0.020000,18.988187,27.648383,12.792500,45.150000,105.000000,125.000000,0.091928
0.020000,19.908480,27.736437,13.717000,47.300000,107.500000,125.000000,0.098854
0.020000,20.871392,27.835471,14.685000,49.500000,110.000000,125.000000,0.106127
0.020000,21.877781,27.946560,15.697500,51.750000,112.500000,125.000000,0.113754
0.020000,22.928453,28.070849,16.755500,54.050000,115.000000,125.000000,0.121744
0.020000,24.024198,28.209562,17.860000,56.400000,117.500000,125.000000,0.130104
0.020000,25.165802,28.364008,19.012000,58.800000,120.000000,125.000000,0.138843
0.020000,26.353972,28.535574,20.212500,61.250000,122.500000,125.000000,0.147967
0.020000,27.589419,28.725737,21.462500,63.750000,125.000000,125.000000,0.157483
0.020000,28.871804,28.935891,22.762000,66.200000,122.500000,-125.000000,0.167387
0.020000,30.199789,29.167306,24.110000,68.600000,120.000000,-125.000000,0.177670
0.020000,31.571981,29.421251,25.505500,70.950000,117.500000,-125.000000,0.188319
0.020000,32.986967,29.698992,26.947500,73.250000,115.000000,-125.000000,0.199322
0.020000,34.443319,30.001789,28.435000,75.500000,112.500000,-125.000000,0.210664
0.020000,35.939546,30.330878,29.967000,77.700000,110.000000,-125.000000,0.222330
0.020000,37.474149,30.687474,31.542500,79.850000,107.500000,-125.000000,0.234303
0.020000,39.045591,31.072760,33.160500,81.950000,105.000000,-125.000000,0.246564
0.020000,40.652322,31.487879,34.820000,84.000000,102.500000,-125.000000,0.259095
0.020000,42.292749,31.933927,36.520000,86.000000,100.000000,-125.000000,0.271876
0.020000,43.965265,32.411944,38.259500,87.950000,97.500000,-125.000000,0.284883
0.020000,45.668250,32.922912,40.037500,89.850000,95.000000,-125.000000,0.298094
0.020000,47.400057,33.467739,41.853000,91.700000,92.500000,-125.000000,0.311484
0.020000,49.159034,34.047264,43.705000,93.500000,90.000000,-125.000000,0.325029
0.020000,50.943522,34.662240,45.592500,95.250000,87.500000,-125.000000,0.338702
0.020000,52.751863,35.313337,47.514500,96.950000,85.000000,-125.000000,0.352476
0.020000,54.582395,36.001131,49.470000,98.600000,82.500000,-125.000000,0.366323
0.020000,56.433475,36.726103,51.458000,100.200000,80.000000,-125.000000,0.380216
0.020000,58.303464,37.488634,53.477500,101.750000,77.500000,-125.000000,0.394126
0.020000,60.190750,38.289002,55.527500,103.250000,75.000000,-125.000000,0.408025
0.020000,62.093738,39.127379,57.607000,104.700000,72.500000,-125.000000,0.421883
0.020000,64.010877,40.003837,59.715000,106.100000,70.000000,-125.000000,0.435673
0.020000,65.940638,40.918336,61.850500,107.450000,67.500000,-125.000000,0.449367
0.020000,67.881543,41.870732,64.012500,108.750000,65.000000,-125.000000,0.462938
0.020000,69.832156,42.860778,66.200000,110.000000,62.500000,-125.000000,0.476359
0.020000,71.791092,43.888125,68.412000,111.200000,60.000000,-125.000000,0.489604
0.020000,73.757020,44.952322,70.647500,112.350000,57.500000,-125.000000,0.502649
0.020000,75.728665,46.052824,72.905500,113.450000,55.000000,-125.000000,0.515471
0.020000,77.704815,47.188994,75.185000,114.500000,52.500000,-125.000000,0.528047
0.020000,79.684318,48.360105,77.485000,115.500000,50.000000,-125.000000,0.540357
0.020000,81.666086,49.565347,79.804500,116.450000,47.500000,-125.000000,0.552381
0.020000,83.649097,50.803833,82.142500,117.350000,45.000000,-125.000000,0.564101
0.020000,85.632394,52.074602,84.498000,118.200000,42.500000,-125.000000,0.575501
0.020000,87.615084,53.376626,86.870000,119.000000,40.000000,-125.000000,0.586565
0.020000,89.596340,54.708813,89.257500,119.750000,37.500000,-125.000000,0.597281
0.020000,91.575400,56.070018,91.659500,120.450000,35.000000,-125.000000,0.607635
0.020000,93.551560,57.459038,94.075000,121.100000,32.500000,-125.000000,0.617617
0.020000,95.524183,58.874631,96.503000,121.700000,30.000000,-125.000000,0.627218
0.020000,97.492683,60.315507,98.942500,122.250000,27.500000,-125.000000,0.636429
0.020000,99.456533,61.780345,101.392500,122.750000,25.000000,-125.000000,0.645244
0.020000,101.415261,63.267790,103.852000,123.200000,22.500000,-125.000000,0.653656
0.020000,103.368441,64.776460,106.320000,123.600000,20.000000,-125.000000,0.661661
0.020000,105.315693,66.304948,108.795500,123.950000,17.500000,-125.000000,0.669255
0.020000,107.256685,67.851830,111.277500,124.250000,15.000000,-125.000000,0.676436
0.020000,109.191122,69.415667,113.765000,124.500000,12.500000,-125.000000,0.683201
0.020000,111.118746,70.995006,116.257000,124.700000,10.000000,-125.000000,0.689549
0.020000,113.039331,72.588385,118.752500,124.850000,7.500000,-125.000000,0.695480
0.020000,114.952683,74.194336,121.250500,124.950000,5.000000,-125.000000,0.700994
0.020000,116.858629,75.811385,123.750000,125.000000,2.500000,-125.000000,0.706092
0.020000,118.757026,77.438063,126.250000,125.000000,0.000000,-125.000000,0.710776
0.020000,120.648121,79.073223,128.750000,125.000000,0.000000,0.000000,0.715047
0.020000,122.532552,80.716060,131.250000,125.000000,0.000000,0.000000,0.718909
0.020000,124.410959,82.365783,133.750000,125.000000,0.000000,0.000000,0.722366
0.020000,126.283984,84.021612,136.250000,125.000000,0.000000,0.000000,0.725421
0.020000,128.152277,85.682780,138.750000,125.000000,0.000000,0.000000,0.728075
0.020000,130.016484,87.348532,141.250000,125.000000,0.000000,0.000000,0.730332
0.020000,131.877258,89.018120,143.750000,125.000000,0.000000,0.000000,0.732194
0.020000,133.734993,90.690572,146.249656,124.965628,-1.718596,-85.929779,0.733662
0.020000,135.589720,92.364590,148.748125,124.881256,-4.218596,-125.000000,0.734737
0.020000,137.441352,94.038770,151.244407,124.746884,-6.718596,-125.000000,0.735421
0.020000,139.289803,95.711717,153.737500,124.562512,-9.218596,-125.000000,0.735715
0.020000,141.134982,97.382038,156.226407,124.328140,-11.718596,-125.000000,0.735621
0.020000,142.976793,99.048349,158.710126,124.043769,-14.218596,-125.000000,0.735141
0.020000,144.815131,100.709275,161.187658,123.709397,-16.718596,-125.000000,0.734278
0.020000,146.649880,102.363451,163.658002,123.325025,-19.218596,-125.000000,0.733034
0.020000,148.480908,104.009522,166.120159,122.890653,-21.718596,-125.000000,0.731413
0.020000,150.308066,105.646150,168.573128,122.406281,-24.218596,-125.000000,0.729417
0.020000,152.047814,107.225991,171.015910,121.871909,-26.718596,-125.000000,0.761371
0.020000,153.753947,108.957994,173.447504,121.287537,-29.218596,-125.000000,0.823719
0.020000,155.345507,110.779768,175.866911,120.653165,-31.718596,-125.000000,0.880909
0.020000,156.827537,112.675076,178.273131,119.968793,-34.218596,-125.000000,0.932510
0.020000,158.207314,114.628795,180.665163,119.234421,-36.718596,-125.000000,0.978385
0.020000,159.493557,116.627349,183.042008,118.450049,-39.218596,-125.000000,1.018620
0.020000,160.695729,118.658832,185.402665,117.615678,-41.718596,-125.000000,1.053442
0.020000,161.823532,120.712973,187.746135,116.731306,-44.218596,-125.000000,1.083155
0.020000,162.886540,122.780987,190.071417,115.796934,-46.718596,-125.000000,1.108096
0.020000,163.893967,124.855349,192.377512,114.812562,-49.218596,-125.000000,1.128599
0.020000,164.854547,126.929605,194.663420,113.778190,-51.718596,-125.000000,1.144973
0.020000,165.776475,128.998166,196.928140,112.693818,-54.218596,-125.000000,1.157498
0.020000,166.667395,131.056123,199.170673,111.559446,-56.718596,-125.000000,1.166416
0.020000,167.534413,133.099102,201.390018,110.375074,-59.218596,-125.000000,1.171928
0.020000,168.384131,135.123132,203.585176,109.140702,-61.718596,-125.000000,1.174200
0.020000,169.222676,137.124535,205.755146,107.856330,-64.218596,-125.000000,1.173363
0.020000,170.055735,139.099837,207.898929,106.521958,-66.718596,-125.000000,1.169519
0.020000,170.888580,141.045688,210.015524,105.137586,-69.218596,-125.000000,1.162739
0.020000,171.726088,142.958798,212.103932,103.703215,-71.718596,-125.000000,1.153075
0.020000,172.572754,144.835894,214.163153,102.218843,-74.218596,-125.000000,1.140560
0.020000,173.432684,146.673669,216.192186,100.684471,-76.718596,-125.000000,1.125213
