dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.377511,9.074950,0.000500,0.050000,2.500000,125.000000,6.281859
0.020000,6.377765,9.074950,0.000754,0.012719,-1.864070,-218.203505,6.281873
0.020000,6.378337,9.074949,0.001327,0.028617,0.794921,132.949573,6.281905
0.020000,6.379355,9.074948,0.002344,0.050875,1.112915,15.899684,6.281961
0.020000,6.380945,9.074946,0.003934,0.079494,1.430947,15.901610,6.282049
0.020000,6.383234,9.074943,0.006224,0.114475,1.749042,15.904758,6.282177
0.020000,6.386351,9.074940,0.009340,0.155820,2.067231,15.909426,6.282350
0.020000,6.390421,9.074937,0.013411,0.203531,2.385549,15.915901,6.282576
0.020000,6.395574,9.074935,0.018563,0.257611,2.704038,15.924461,6.282862
0.020000,6.406222,9.074934,0.029212,0.532439,13.741372,551.866699,0.000030
0.020000,6.474437,9.074951,0.097426,3.410737,143.914918,6508.677289,0.000458
0.020000,6.555601,9.075009,0.178590,4.058194,32.372811,-5577.105344,0.000967
0.020000,6.650859,9.075129,0.273848,4.762900,35.235331,143.126018,0.001565
0.020000,6.761352,9.075341,0.384341,5.524657,38.087826,142.624716,0.002259
0.020000,6.888196,9.075678,0.511186,6.342210,40.877646,139.491014,0.003056
0.020000,7.032512,9.076184,0.655503,7.215884,43.683705,140.302943,0.003963
0.020000,7.195475,9.076914,0.818468,8.148213,46.616475,146.638488,0.004988
0.020000,7.378180,9.077930,1.001175,9.135386,49.358632,137.107846,0.006139
0.020000,7.581766,9.079310,1.204766,10.179553,52.208340,142.485415,0.007421
0.020000,7.807370,9.081145,1.430377,11.280559,55.050320,142.098988,0.008844
0.020000,8.056123,9.083541,1.679142,12.438217,57.882887,141.628369,0.010415
0.020000,8.329168,9.086620,1.952205,13.653139,60.746104,143.160835,0.012141
0.020000,8.627656,9.090526,2.250718,14.925656,63.625840,143.986838,0.014030
0.020000,8.952683,9.095421,2.575782,16.253221,66.378293,137.622634,0.016090
0.020000,9.305437,9.101492,2.928588,17.640317,69.354785,148.824586,0.018328
0.020000,9.687029,9.108950,3.310253,19.083222,72.145263,139.523886,0.020754
0.020000,10.098599,9.118032,3.721923,20.583501,75.013942,143.433980,0.023375
0.020000,10.541289,9.129007,4.164749,22.141314,77.890634,143.834567,0.026198
0.020000,11.016232,9.142174,4.639874,23.756260,80.747327,142.834683,0.029234
0.020000,11.524594,9.157867,5.148479,25.430220,83.697984,147.532818,0.032489
0.020000,12.067475,9.176457,5.691678,27.159935,86.485768,139.389201,0.035973
0.020000,12.646050,9.198357,6.270667,28.949482,89.477305,149.576896,0.039694
0.020000,13.261424,9.224019,6.886576,30.795458,92.298805,141.074995,0.043661
0.020000,13.914731,9.253942,7.540568,32.699594,95.206813,145.400385,0.047883
0.020000,14.607104,9.288677,8.233812,34.662200,98.130296,146.174157,0.052369
0.020000,15.339671,9.328823,8.967478,36.683297,101.054873,146.228833,0.057128
0.020000,16.113532,9.375037,9.742717,38.761954,103.932836,143.898179,0.062169
0.020000,16.929793,9.428033,10.560697,40.898989,106.851744,145.945395,0.067501
0.020000,17.789552,9.488588,11.422586,43.094468,109.773966,146.111093,0.073134
0.020000,18.693876,9.557544,12.329535,45.347454,112.649268,143.765092,0.079077
0.020000,19.643875,9.635816,13.282754,47.660921,115.673360,151.204604,0.085338
0.020000,20.640558,9.724386,14.283364,50.030512,118.479546,140.309292,0.091928
0.020000,21.684962,9.824315,15.332538,52.458689,121.408877,146.466559,0.098854
0.020000,22.778090,9.936742,16.431432,54.944724,124.301726,144.642463,0.106127
0.020000,23.920937,10.062894,17.581221,57.489409,127.234272,146.627279,0.113754
0.020000,25.114430,10.204078,18.783035,60.090747,130.066892,141.631013,0.121744
0.020000,26.359473,10.361691,20.038015,62.748968,132.911020,142.206383,0.130104
0.020000,27.656958,10.537226,21.347320,65.465235,135.813366,145.117313,0.138843
0.020000,29.007673,10.732263,22.712044,68.236215,138.548988,136.781083,0.147967
0.020000,30.412403,10.948483,24.133317,71.063649,141.371738,141.137509,0.157483
0.020000,31.870722,11.187469,25.611088,73.888566,141.245834,-6.295189,0.167387
0.020000,33.381050,11.450660,27.144177,76.654433,138.293337,-147.624862,0.177670
0.020000,34.941729,11.739487,28.731357,79.358997,135.228230,-153.255339,0.188319
0.020000,36.551056,12.055373,30.371392,82.001763,132.138299,-154.496580,0.199322
0.020000,38.207289,12.399728,32.063045,84.582631,129.043360,-154.746935,0.210664
0.020000,39.908596,12.773924,33.805017,87.098637,125.800338,-162.151084,0.222330
0.020000,41.653115,13.179298,35.596015,89.549884,122.562329,-161.900482,0.234303
0.020000,43.438915,13.617139,37.434707,91.934614,119.236503,-166.291274,0.246564
0.020000,45.264036,14.088681,39.319758,94.252552,115.896893,-166.980492,0.259095
0.020000,47.126443,14.595086,41.249786,96.501383,112.441561,-172.766616,0.271876
0.020000,49.024072,15.137441,43.223398,98.680590,108.960370,-174.059559,0.284883
0.020000,50.954821,15.716745,45.239182,100.789204,105.430654,-176.485780,0.298094
0.020000,52.916546,16.333903,47.295695,102.825669,101.823281,-180.368678,0.311484
0.020000,54.907084,16.989717,49.391485,104.789500,98.191557,-181.586180,0.325029
0.020000,56.924255,17.684878,51.525080,106.679719,94.510925,-184.031622,0.338702
0.020000,58.965868,18.419962,53.694995,108.495774,90.802765,-185.407964,0.352476
0.020000,61.029729,19.195421,55.899731,110.236785,87.050545,-187.611031,0.366323
0.020000,63.113661,20.011585,58.137787,111.902802,83.300864,-187.484021,0.380216
0.020000,65.215495,20.868651,60.407648,113.493046,79.512162,-189.435100,0.394126
0.020000,67.333097,21.766687,62.707802,115.007720,75.733721,-188.922085,0.408025
0.020000,69.464365,22.705630,65.036732,116.446486,71.938318,-189.770110,0.421883
0.020000,71.607253,23.685287,67.392936,117.810198,68.185604,-187.635713,0.435673
0.020000,73.759761,24.705337,69.774908,119.098618,64.421006,-188.229914,0.449367
0.020000,75.919959,25.765333,72.181160,120.312572,60.697692,-186.165682,0.462938
0.020000,78.085987,26.864707,74.610213,121.452687,57.005747,-184.597265,0.476359
0.020000,80.256065,28.002778,77.060610,122.519824,53.356860,-182.444336,0.489604
0.020000,82.428494,29.178751,79.530906,123.514799,49.748714,-180.407320,0.502649
0.020000,84.601667,30.391731,82.019681,124.438733,46.196729,-177.599225,0.515471
0.020000,86.774067,31.640725,84.525535,125.292739,42.700286,-174.822139,0.528047
0.020000,88.944274,32.924651,87.047096,126.078015,39.263793,-171.824678,0.540357
0.020000,91.110964,34.242348,89.583012,126.795806,35.889537,-168.712802,0.552381
0.020000,93.272910,35.592580,92.131960,127.447412,32.580340,-165.459869,0.564101
0.020000,95.428984,36.974045,94.692643,128.034167,29.337704,-162.131781,0.575501
0.020000,97.578150,38.385385,97.263791,128.557363,26.159799,-158.895259,0.586565
0.020000,99.719468,39.825189,99.844155,129.018200,23.041863,-155.896785,0.597281
0.020000,101.852092,41.292007,102.432520,129.418280,20.004026,-151.891831,0.607635
0.020000,103.975254,42.784345,105.027688,129.758380,17.005007,-149.950987,0.617617
0.020000,106.088283,44.300688,107.628493,130.040237,14.092816,-145.609518,0.627218
0.020000,108.190575,45.839489,110.233783,130.264522,11.214249,-143.928353,0.636429
0.020000,110.281607,47.399185,112.842436,130.432643,8.406060,-140.409436,0.645244
0.020000,112.360927,48.978200,115.453348,130.545591,5.647406,-137.932745,0.653656
0.020000,114.428144,50.574948,118.065432,130.604239,2.932389,-135.750851,0.661661
