dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000342,0.342900,0.000005,0.000496,0.024813,1.240637,6.282187
0.020000,0.000341,0.342900,0.000006,0.000056,-0.022027,-2.341980,6.282190
0.020000,0.000339,0.342900,0.000009,0.000125,0.003482,1.275463,6.282198
0.020000,0.000334,0.342900,0.000013,0.000223,0.004876,0.069657,6.282211
0.020000,0.000327,0.342900,0.000020,0.000348,0.006269,0.069672,6.282231
0.020000,0.000317,0.342900,0.000030,0.000502,0.007663,0.069695,6.282260
0.020000,0.000304,0.342900,0.000044,0.000683,0.009057,0.069730,6.282300
0.020000,0.000286,0.342900,0.000062,0.000892,0.010453,0.069778,6.282352
0.020000,0.000263,0.342900,0.000084,0.001129,0.011850,0.069842,6.282418
0.020000,0.000235,0.342900,0.000112,0.001394,0.013248,0.069924,6.282499
0.020000,0.000202,0.342900,0.000146,0.001687,0.014649,0.070027,6.282598
0.020000,0.000161,0.342900,0.000186,0.002008,0.016052,0.070153,6.282715
0.020000,0.000114,0.342900,0.000233,0.002357,0.017458,0.070303,6.282852
0.020000,0.000060,0.342900,0.000288,0.002734,0.018868,0.070481,6.283012
0.020000,0.000054,0.342900,0.000293,0.000261,-0.123681,-7.127428,0.000009
0.020000,0.001254,0.342900,0.001492,0.059970,2.985445,155.456301,0.000218
0.020000,0.002607,0.342901,0.002846,0.067682,0.385637,-129.990426,0.000454
0.020000,0.004125,0.342901,0.004363,0.075857,0.408724,1.154369,0.000718
0.020000,0.005814,0.342903,0.006053,0.084495,0.431904,1.159013,0.001012
0.020000,0.007688,0.342905,0.007927,0.093679,0.459203,1.364951,0.001339
0.020000,0.009753,0.342908,0.009991,0.103239,0.478016,0.940653,0.001700
0.020000,0.012018,0.342913,0.012257,0.113281,0.502114,1.204899,0.002096
0.020000,0.014495,0.342918,0.014734,0.123849,0.528355,1.312013,0.002530
0.020000,0.017191,0.342926,0.017430,0.134780,0.546591,0.911808,0.003002
0.020000,0.020112,0.342935,0.020351,0.146072,0.564569,0.898925,0.003515
0.020000,0.023257,0.342947,0.023495,0.157227,0.557748,-0.341065,0.004069
0.020000,0.026627,0.342962,0.026865,0.168496,0.563487,0.286968,0.004663
0.020000,0.030220,0.342980,0.030459,0.179677,0.559044,-0.222150,0.005297
0.020000,0.034038,0.343001,0.034276,0.190870,0.559637,0.029623,0.005973
0.020000,0.038080,0.343027,0.038319,0.202118,0.562372,0.136784,0.006689
0.020000,0.042346,0.343057,0.042585,0.213294,0.558806,-0.178328,0.007448
0.020000,0.046835,0.343092,0.047074,0.224474,0.559004,0.009929,0.008248
0.020000,0.051548,0.343133,0.051787,0.235656,0.559121,0.005842,0.009090
0.020000,0.056485,0.343180,0.056725,0.246875,0.560923,0.090079,0.009974
0.020000,0.061646,0.343234,0.061886,0.258047,0.558644,-0.113948,0.010901
0.020000,0.067030,0.343295,0.067270,0.269215,0.558400,-0.012192,0.011871
0.020000,0.072637,0.343365,0.072878,0.280379,0.558184,-0.010784,0.012884
0.020000,0.078467,0.343443,0.078708,0.291537,0.557884,-0.015003,0.013941
0.020000,0.084520,0.343531,0.084762,0.302687,0.557499,-0.019248,0.015043
0.020000,0.090796,0.343629,0.091039,0.313827,0.557029,-0.023519,0.016188
0.020000,0.097295,0.343738,0.097538,0.324981,0.557654,0.031238,0.017379
0.020000,0.104016,0.343859,0.104261,0.336128,0.557364,-0.014505,0.018615
0.020000,0.110960,0.343993,0.111206,0.347241,0.555671,-0.084641,0.019897
0.020000,0.118125,0.344140,0.118372,0.358338,0.554852,-0.040914,0.021225
0.020000,0.125512,0.344302,0.125761,0.369446,0.555412,0.027966,0.022601
0.020000,0.133122,0.344479,0.133373,0.380576,0.556501,0.054454,0.024023
0.020000,0.140952,0.344673,0.141205,0.391625,0.552433,-0.203391,0.025494
0.020000,0.149004,0.344884,0.149260,0.402736,0.555547,0.155688,0.027012
0.020000,0.157276,0.345114,0.157536,0.413785,0.552439,-0.155380,0.028580
0.020000,0.165770,0.345364,0.166033,0.424858,0.553654,0.060733,0.030198
0.020000,0.174483,0.345635,0.174750,0.435882,0.551178,-0.123799,0.031866
0.020000,0.183417,0.345927,0.183690,0.446956,0.553741,0.128151,0.033585
0.020000,0.192571,0.346243,0.192848,0.457945,0.549409,-0.216602,0.035355
0.020000,0.201944,0.346583,0.202228,0.468971,0.551344,0.096764,0.037178
0.020000,0.211537,0.346949,0.211828,0.479991,0.550970,-0.018694,0.039054
0.020000,0.221348,0.347341,0.221647,0.490962,0.548572,-0.119892,0.040983
0.020000,0.231378,0.347763,0.231686,0.501928,0.548298,-0.013737,0.042967
0.020000,0.241626,0.348214,0.241943,0.512887,0.547921,-0.018855,0.045007
0.020000,0.252092,0.348696,0.252420,0.523835,0.547440,-0.024033,0.047102
0.020000,0.262775,0.349211,0.263116,0.534778,0.547138,-0.015104,0.049255
0.020000,0.273675,0.349761,0.274029,0.545693,0.545763,-0.068760,0.051466
0.020000,0.284791,0.350346,0.285161,0.556600,0.545317,-0.022301,0.053735
0.020000,0.296124,0.350969,0.296511,0.567492,0.544625,-0.034579,0.056064
0.020000,0.307672,0.351631,0.308078,0.578361,0.543444,-0.059048,0.058454
0.020000,0.319436,0.352333,0.319863,0.589208,0.542319,-0.056245,0.060906
