dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.000005,0.000496,0.024813,1.240637,6.282187
0.020000,0.000000,0.000000,0.000025,0.001489,0.049625,1.240637,6.282190
0.020000,0.000000,0.000000,0.000069,0.002978,0.074438,1.240637,6.282198
0.020000,0.000000,0.000000,0.000149,0.004963,0.099251,1.240637,6.282211
0.020000,0.000000,0.000000,0.000273,0.007444,0.124064,1.240637,6.282231
0.020000,0.000000,0.000000,0.000452,0.010421,0.148876,1.240637,6.282260
0.020000,0.000000,0.000000,0.000695,0.013895,0.173689,1.240637,6.282300
0.020000,0.000000,0.000000,0.001012,0.017865,0.198502,1.240637,6.282352
0.020000,0.000000,0.000000,0.001414,0.022331,0.223315,1.240637,6.282418
0.020000,0.000000,0.000000,0.001911,0.027294,0.248127,1.240637,6.282499
0.020000,0.000000,0.000000,0.002511,0.032753,0.272940,1.240637,6.282598
0.020000,0.000000,0.000000,0.003226,0.038708,0.297753,1.240637,6.282715
0.020000,0.000000,0.000000,0.004064,0.045159,0.322566,1.240637,6.282852
0.020000,0.000000,0.000000,0.005037,0.052107,0.347378,1.240637,6.283012
0.020000,0.000058,0.000000,0.006154,0.059551,0.372191,1.240637,0.000009
0.020000,0.001328,0.000000,0.007424,0.067491,0.397004,1.240637,0.000218
0.020000,0.002763,0.000001,0.008858,0.075927,0.421816,1.240637,0.000454
0.020000,0.004371,0.000002,0.010466,0.084860,0.446629,1.240637,0.000718
0.020000,0.006162,0.000003,0.012257,0.094288,0.471442,1.240637,0.001012
0.020000,0.008147,0.000005,0.014243,0.104213,0.496255,1.240637,0.001339
0.020000,0.010336,0.000009,0.016431,0.114635,0.521067,1.240637,0.001700
0.020000,0.012737,0.000013,0.018833,0.125552,0.545880,1.240637,0.002096
0.020000,0.015363,0.000019,0.021458,0.136966,0.570693,1.240637,0.002530
0.020000,0.018220,0.000027,0.024316,0.148876,0.595506,1.240637,0.003002
0.020000,0.021318,0.000037,0.027413,0.160787,0.595506,0.000000,0.003515
0.020000,0.024652,0.000050,0.030748,0.172697,0.595506,-0.000000,0.004069
0.020000,0.028226,0.000066,0.034321,0.184607,0.595506,0.000000,0.004663
0.020000,0.032037,0.000085,0.038132,0.196517,0.595506,-0.000000,0.005297
0.020000,0.036086,0.000107,0.042182,0.208427,0.595506,0.000000,0.005973
0.020000,0.040374,0.000135,0.046469,0.220337,0.595506,-0.000000,0.006689
0.020000,0.044899,0.000167,0.050995,0.232247,0.595506,0.000000,0.007448
0.020000,0.049663,0.000204,0.055759,0.244157,0.595506,-0.000000,0.008248
0.020000,0.054665,0.000247,0.060761,0.256067,0.595506,0.000000,0.009090
0.020000,0.059905,0.000297,0.066002,0.267978,0.595506,0.000000,0.009974
