dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.000342,-0.342900,0.000005,0.000496,0.024813,1.240637,6.282187
0.020000,-0.000341,-0.342900,0.000006,0.000056,-0.022027,-2.341980,6.282190
0.020000,-0.000339,-0.342900,0.000009,0.000125,0.003482,1.275463,6.282198
0.020000,-0.000334,-0.342900,0.000013,0.000223,0.004876,0.069657,6.282211
0.020000,-0.000327,-0.342900,0.000020,0.000348,0.006269,0.069672,6.282231
0.020000,-0.000317,-0.342900,0.000030,0.000502,0.007663,0.069695,6.282260
0.020000,-0.000304,-0.342900,0.000044,0.000683,0.009057,0.069730,6.282300
0.020000,-0.000286,-0.342900,0.000062,0.000892,0.010453,0.069778,6.282352
0.020000,-0.000263,-0.342900,0.000084,0.001129,0.011850,0.069842,6.282418
0.020000,-0.000235,-0.342900,0.000112,0.001394,0.013248,0.069924,6.282499
0.020000,-0.000202,-0.342900,0.000146,0.001687,0.014649,0.070027,6.282598
0.020000,-0.000161,-0.342900,0.000186,0.002008,0.016052,0.070153,6.282715
0.020000,-0.000114,-0.342900,0.000233,0.002357,0.017458,0.070303,6.282852
0.020000,-0.000060,-0.342900,0.000288,0.002734,0.018868,0.070481,6.283012
0.020000,0.000061,-0.342900,0.000408,0.006019,0.164252,7.269211,0.000009
0.020000,0.001403,-0.342900,0.001750,0.067121,3.055076,144.541188,0.000218
0.020000,0.002918,-0.342899,0.003266,0.075759,0.431908,-131.158384,0.000454
0.020000,0.004617,-0.342898,0.004964,0.084916,0.457857,1.297472,0.000718
0.020000,0.006509,-0.342897,0.006856,0.094595,0.483933,1.303784,0.001012
0.020000,0.008606,-0.342894,0.008954,0.104888,0.514646,1.535624,0.001339
0.020000,0.010918,-0.342891,0.011266,0.115605,0.535885,1.061979,0.001700
0.020000,0.013456,-0.342886,0.013803,0.126867,0.563072,1.359364,0.002096
0.020000,0.016230,-0.342879,0.016577,0.138721,0.592694,1.481085,0.002530
0.020000,0.019250,-0.342871,0.019597,0.150988,0.613388,1.034706,0.003002
0.020000,0.022523,-0.342860,0.022871,0.163665,0.633831,1.022152,0.003515
0.020000,0.026047,-0.342847,0.026394,0.176195,0.626520,-0.365546,0.004069
0.020000,0.029824,-0.342831,0.030172,0.188862,0.633311,0.339519,0.004663
0.020000,0.033853,-0.342811,0.034200,0.201436,0.628717,-0.229689,0.005297
0.020000,0.038134,-0.342786,0.038481,0.214032,0.629794,0.053831,0.005973
0.020000,0.042667,-0.342758,0.043015,0.226698,0.633303,0.175461,0.006689
0.020000,0.047453,-0.342724,0.047801,0.239293,0.629772,-0.176537,0.007448
0.020000,0.052491,-0.342684,0.052839,0.251903,0.630492,0.035981,0.008248
0.020000,0.057781,-0.342639,0.058129,0.264526,0.631149,0.032857,0.009090
0.020000,0.063325,-0.342586,0.063673,0.277201,0.633728,0.128941,0.009974
0.020000,0.069122,-0.342525,0.069470,0.289836,0.631755,-0.098625,0.010901
0.020000,0.075171,-0.342456,0.075520,0.302478,0.632097,0.017091,0.011871
0.020000,0.081473,-0.342378,0.081822,0.315128,0.632501,0.020211,0.012884
0.020000,0.088028,-0.342290,0.088378,0.327785,0.632842,0.017033,0.013941
0.020000,0.094836,-0.342192,0.095187,0.340447,0.633119,0.013847,0.015043
0.020000,0.101898,-0.342081,0.102249,0.353114,0.633332,0.010652,0.016188
0.020000,0.109213,-0.341959,0.109565,0.365810,0.634810,0.073936,0.017379
0.020000,0.116782,-0.341822,0.117136,0.378516,0.635294,0.024187,0.018615
0.020000,0.124604,-0.341672,0.124960,0.391200,0.634232,-0.053119,0.019897
0.020000,0.132680,-0.341506,0.133037,0.403884,0.634188,-0.002206,0.021225
0.020000,0.141010,-0.341323,0.141369,0.416599,0.635732,0.077221,0.022601
0.020000,0.149595,-0.341123,0.149957,0.429357,0.637913,0.109037,0.024023
0.020000,0.158433,-0.340904,0.158797,0.442043,0.634312,-0.180039,0.025494
0.020000,0.167527,-0.340665,0.167894,0.454820,0.638853,0.227067,0.027012
0.020000,0.176874,-0.340405,0.177245,0.467549,0.636411,-0.122141,0.028580
0.020000,0.186476,-0.340123,0.186851,0.480326,0.638889,0.123923,0.030198
0.020000,0.196333,-0.339817,0.196713,0.493071,0.637237,-0.082626,0.031866
0.020000,0.206446,-0.339486,0.206831,0.505898,0.641326,0.204459,0.033585
0.020000,0.216812,-0.339129,0.217204,0.518651,0.637655,-0.183555,0.035355
0.020000,0.227435,-0.338743,0.227833,0.531473,0.641121,0.173341,0.037178
0.020000,0.238313,-0.338328,0.238719,0.544314,0.642021,0.044970,0.039054
0.020000,0.249447,-0.337883,0.249862,0.557127,0.640669,-0.067571,0.040983
0.020000,0.260836,-0.337404,0.261261,0.569962,0.641771,0.055092,0.042967
0.020000,0.272481,-0.336892,0.272918,0.582818,0.642806,0.051740,0.045007
0.020000,0.284382,-0.336343,0.284831,0.595694,0.643773,0.048367,0.047102
0.020000,0.296540,-0.335757,0.297003,0.608594,0.644996,0.061104,0.049255
0.020000,0.308954,-0.335131,0.309433,0.621495,0.645048,0.002647,0.051466
0.020000,0.321625,-0.334464,0.322122,0.634419,0.646212,0.058179,0.053735
0.020000,0.334553,-0.333754,0.335069,0.647362,0.647151,0.046966,0.056064
