dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.165307,3.470055,0.000005,0.000496,0.024813,1.240637,0.000000
0.020000,0.165307,3.470055,0.000005,0.000000,-0.024811,-2.481178,0.000000
0.020000,0.165307,3.470055,0.000005,0.000000,0.000002,1.240661,0.000000
0.020000,0.165307,3.470055,0.000005,0.000000,0.000003,0.000048,0.000000
0.020000,0.165307,3.470055,0.000005,0.000000,0.000004,0.000048,0.000000
0.020000,0.165307,3.470055,0.000005,0.000000,0.000005,0.000048,0.000000
0.020000,0.165307,3.470055,0.000005,0.000000,0.000006,0.000048,0.000000
0.020000,0.165307,3.470055,0.000005,0.000001,0.000007,0.000048,0.000000
0.020000,0.165307,3.470055,0.000005,0.000001,0.000008,0.000048,0.000000
0.020000,0.165307,3.470055,0.000005,0.000001,0.000009,0.000047,0.000000
0.020000,0.165307,3.470055,0.000005,0.000001,0.000010,0.000047,0.000000
0.020000,0.165650,3.470055,0.000348,0.017150,0.857417,42.870374,6.283185
0.020000,0.166489,3.470055,0.001187,0.041935,1.239281,19.093194,6.283185
0.020000,0.167462,3.470055,0.002159,0.048635,0.334985,-45.214832,6.283185
0.020000,0.168578,3.470055,0.003276,0.055831,0.359798,1.240683,6.283185
0.020000,0.169849,3.470055,0.004547,0.063523,0.384612,1.240683,6.283185
0.020000,0.171283,3.470055,0.005981,0.071712,0.409426,1.240682,6.283185
0.020000,0.172891,3.470055,0.007589,0.080396,0.434239,1.240682,6.283184
0.020000,0.174682,3.470055,0.009380,0.089577,0.459053,1.240681,6.283184
0.020000,0.176667,3.470055,0.011365,0.099255,0.483867,1.240681,6.283184
0.020000,0.178856,3.470055,0.013554,0.109428,0.508680,1.240680,6.283184
0.020000,0.181258,3.470055,0.015956,0.120098,0.533494,1.240679,6.283184
0.020000,0.183883,3.470055,0.018581,0.131264,0.558307,1.240679,6.283183
0.020000,0.186742,3.470055,0.021440,0.142927,0.583121,1.240678,6.283183
0.020000,0.189839,3.470055,0.024536,0.154837,0.595528,0.620335,6.283183
0.020000,0.193174,3.470055,0.027871,0.166748,0.595527,-0.000007,6.283182
0.020000,0.196747,3.470055,0.031445,0.178658,0.595527,-0.000008,6.283182
0.020000,0.200558,3.470055,0.035256,0.190569,0.595527,-0.000009,6.283181
0.020000,0.204608,3.470055,0.039306,0.202480,0.595527,-0.000009,6.283181
0.020000,0.208895,3.470055,0.043593,0.214390,0.595527,-0.000010,6.283180
0.020000,0.213421,3.470055,0.048119,0.226301,0.595527,-0.000010,6.283180
0.020000,0.218186,3.470055,0.052884,0.238211,0.595526,-0.000011,6.283179
0.020000,0.223188,3.470055,0.057886,0.250122,0.595526,-0.000011,6.283179
0.020000,0.228429,3.470055,0.063127,0.262032,0.595526,-0.000012,6.283178
0.020000,0.233908,3.470055,0.068605,0.273943,0.595526,-0.000012,6.283178
0.020000,0.239625,3.470055,0.074323,0.285853,0.595525,-0.000013,6.283177
0.020000,0.245580,3.470055,0.080278,0.297764,0.595525,-0.000014,6.283177
0.020000,0.251773,3.470055,0.086471,0.309674,0.595525,-0.000014,6.283176
0.020000,0.258205,3.470055,0.092903,0.321585,0.595525,-0.000015,6.283175
0.020000,0.264875,3.470055,0.099573,0.333495,0.595524,-0.000015,6.283175
0.020000,0.271783,3.470055,0.106481,0.345406,0.595524,-0.000016,6.283174
0.020000,0.278929,3.470055,0.113627,0.357316,0.595524,-0.000016,6.283173
0.020000,0.286314,3.470055,0.121012,0.369227,0.595523,-0.000017,6.283172
0.020000,0.293937,3.470055,0.128635,0.381137,0.595523,-0.000018,6.283172
0.020000,0.301798,3.470054,0.136496,0.393047,0.595522,-0.000018,6.283171
0.020000,0.309897,3.470054,0.144595,0.404958,0.595522,-0.000019,6.283170
0.020000,0.318234,3.470054,0.152932,0.416868,0.595522,-0.000019,6.283169
0.020000,0.326810,3.470054,0.161508,0.428779,0.595521,-0.000020,6.283168
0.020000,0.335624,3.470054,0.170321,0.440689,0.595521,-0.000020,6.283167
0.020000,0.344676,3.470054,0.179373,0.452600,0.595521,-0.000021,6.283166
0.020000,0.353966,3.470054,0.188664,0.464510,0.595520,-0.000022,6.283166
0.020000,0.363494,3.470053,0.198192,0.476420,0.595520,-0.000022,6.283165
0.020000,0.373261,3.470053,0.207959,0.488331,0.595519,-0.000023,6.283164
0.020000,0.383266,3.470053,0.217963,0.500241,0.595519,-0.000023,6.283163
0.020000,0.393509,3.470053,0.228206,0.512151,0.595518,-0.000024,6.283162
0.020000,0.403990,3.470052,0.238688,0.524062,0.595518,-0.000024,6.283161
0.020000,0.414709,3.470052,0.249407,0.535972,0.595517,-0.000025,6.283160
0.020000,0.425667,3.470052,0.260365,0.547883,0.595517,-0.000026,6.283159
0.020000,0.436863,3.470052,0.271561,0.559793,0.595516,-0.000026,6.283158
0.020000,0.448297,3.470051,0.282995,0.571703,0.595516,-0.000027,6.283157
0.020000,0.459969,3.470051,0.294667,0.583613,0.595515,-0.000027,6.283156
0.020000,0.471880,3.470051,0.306577,0.595524,0.595515,-0.000028,6.283155
0.020000,0.484028,3.470050,0.318726,0.607434,0.595514,-0.000028,6.283153
0.020000,0.496415,3.470050,0.331113,0.619344,0.595513,-0.000029,6.283152
0.020000,0.509040,3.470049,0.343738,0.631255,0.595513,-0.000030,6.283151
0.020000,0.521904,3.470049,0.356601,0.643165,0.595512,-0.000030,6.283150
0.020000,0.535005,3.470048,0.369703,0.655075,0.595512,-0.000031,6.283149
0.020000,0.548345,3.470048,0.383043,0.666985,0.595511,-0.000031,6.283148
0.020000,0.561923,3.470047,0.396621,0.678895,0.595510,-0.000032,6.283147
0.020000,0.575739,3.470047,0.410437,0.690806,0.595510,-0.000032,6.283146
0.020000,0.589793,3.470046,0.424491,0.702716,0.595509,-0.000033,6.283145
0.020000,0.604086,3.470046,0.438784,0.714626,0.595508,-0.000034,6.283144
0.020000,0.618616,3.470045,0.453314,0.726536,0.595508,-0.000034,6.283142
0.020000,0.633385,3.470044,0.468083,0.738446,0.595507,-0.000035,6.283141
0.020000,0.648392,3.470044,0.483090,0.750356,0.595506,-0.000035,6.283140
0.020000,0.663638,3.470043,0.498336,0.762267,0.595506,-0.000036,6.283139
0.020000,0.679121,3.470042,0.513819,0.774177,0.595505,-0.000036,6.283138
0.020000,0.694843,3.470042,0.529541,0.786087,0.595504,-0.000037,6.283137
0.020000,0.710803,3.470041,0.545501,0.797997,0.595503,-0.000037,6.283136
0.020000,0.727001,3.470040,0.561699,0.809907,0.595503,-0.000038,6.283135
0.020000,0.743437,3.470039,0.578135,0.821817,0.595502,-0.000039,6.283133
0.020000,0.760112,3.470038,0.594810,0.833727,0.595501,-0.000039,6.283132
0.020000,0.777025,3.470037,0.611723,0.845637,0.595500,-0.000040,6.283131
0.020000,0.794176,3.470036,0.628874,0.857547,0.595499,-0.000040,6.283130
0.020000,0.811565,3.470036,0.646263,0.869457,0.595499,-0.000041,6.283129
0.020000,0.829192,3.470035,0.663890,0.881367,0.595498,-0.000041,6.283128
0.020000,0.847058,3.470033,0.681756,0.893277,0.595497,-0.000042,6.283127
0.020000,0.865161,3.470032,0.699859,0.905187,0.595496,-0.000043,6.283126
0.020000,0.883503,3.470031,0.718201,0.917097,0.595495,-0.000043,6.283125
0.020000,0.902078,3.470030,0.736776,0.928758,0.583088,-0.620374,6.283124
0.020000,0.920877,3.470029,0.755575,0.939924,0.558274,-1.240703,6.283123
0.020000,0.939889,3.470028,0.774587,0.950593,0.533460,-1.240701,6.283122
0.020000,0.959104,3.470027,0.793802,0.960766,0.508646,-1.240699,6.283121
0.020000,0.978513,3.470025,0.813211,0.970443,0.483832,-1.240697,6.283120
0.020000,0.998105,3.470024,0.832803,0.979623,0.459018,-1.240694,6.283119
0.020000,1.017872,3.470023,0.852569,0.988307,0.434204,-1.240692,6.283118
0.020000,1.037801,3.470021,0.872499,0.996495,0.409390,-1.240690,6.283117
0.020000,1.057885,3.470020,0.892583,1.004186,0.384577,-1.240688,6.283116
0.020000,1.078113,3.470019,0.912811,1.011382,0.359763,-1.240685,6.283115
0.020000,1.098474,3.470017,0.933172,1.018081,0.334949,-1.240683,6.283114
0.020000,1.118960,3.470016,0.953658,1.024283,0.310136,-1.240680,6.283114
0.020000,1.139560,3.470014,0.974258,1.029990,0.285322,-1.240678,6.283113
0.020000,1.160264,3.470013,0.994962,1.035200,0.260508,-1.240675,6.283112
0.020000,1.181062,3.470011,1.015760,1.039914,0.235695,-1.240672,6.283111
0.020000,1.201945,3.470010,1.036643,1.044131,0.210882,-1.240670,6.283111
0.020000,1.222902,3.470008,1.057600,1.047853,0.186068,-1.240667,6.283110
0.020000,1.243923,3.470006,1.078621,1.051078,0.161255,-1.240664,6.283110
0.020000,1.265000,3.470005,1.099697,1.053807,0.136442,-1.240662,6.283109
0.020000,1.286120,3.470003,1.120818,1.056039,0.111629,-1.240659,6.283108
0.020000,1.307276,3.470002,1.141974,1.057776,0.086815,-1.240656,6.283108
0.020000,1.328456,3.470000,1.163154,1.059016,0.062002,-1.240653,6.283107
0.020000,1.349651,3.469998,1.184349,1.059759,0.037189,-1.240650,6.283107
0.020000,1.370851,3.469997,1.205549,1.060007,0.012376,-1.240648,6.283107
0.020000,1.392052,3.469995,1.226750,1.060006,-0.000030,-0.620323,6.283106
0.020000,1.413252,3.469993,1.247950,1.060006,-0.000030,0.000000,6.283106
0.020000,1.434452,3.469992,1.269150,1.060005,-0.000030,-0.000000,6.283106
0.020000,1.455652,3.469990,1.290350,1.060005,-0.000030,0.000000,6.283105
0.020000,1.476852,3.469988,1.311550,1.060004,-0.000030,-0.000000,6.283105
0.020000,1.498052,3.469986,1.332750,1.060003,-0.000030,0.000000,6.283105
0.020000,1.519252,3.469985,1.353950,1.060003,-0.000030,-0.000000,6.283105
0.020000,1.540452,3.469983,1.375150,1.060002,-0.000030,0.000000,6.283105
0.020000,1.561652,3.469981,1.396350,1.060002,-0.000030,-0.000000,6.283104
0.020000,1.582852,3.469980,1.417550,1.060001,-0.000030,0.000000,6.283104
0.020000,1.604052,3.469978,1.438750,1.060000,-0.000030,0.000000,6.283104
0.020000,1.625252,3.469976,1.459950,1.060000,-0.000030,-0.000000,6.283104
0.020000,1.646452,3.469975,1.481150,1.059999,-0.000030,-0.000000,6.283104
0.020000,1.667652,3.469973,1.502350,1.059999,-0.000030,0.000000,6.283105
0.020000,1.688852,3.469971,1.523550,1.059998,-0.000030,-0.000000,6.283105
0.020000,1.710052,3.469969,1.544750,1.059997,-0.000030,-0.000000,6.283105
0.020000,1.731252,3.469968,1.565950,1.059997,-0.000030,0.000000,6.283105
0.020000,1.752452,3.469966,1.587150,1.059996,-0.000030,-0.000000,6.283105
0.020000,1.773652,3.469964,1.608350,1.059996,-0.000030,0.000000,6.283106
0.020000,1.794852,3.469963,1.629550,1.059995,-0.000030,-0.000000,6.283106
0.020000,1.816052,3.469961,1.650750,1.059994,-0.000030,0.000000,6.283106
0.020000,1.837252,3.469959,1.671949,1.059994,-0.000030,0.000000,6.283106
0.020000,1.858451,3.469958,1.693149,1.059993,-0.000030,-0.000000,6.283107
0.020000,1.879647,3.469956,1.714345,1.059772,-0.011046,-0.550806,6.283107
0.020000,1.900828,3.469954,1.735526,1.059083,-0.034469,-1.171119,6.283108
0.020000,1.921986,3.469953,1.756684,1.057897,-0.059281,-1.240623,6.283108
0.020000,1.943111,3.469951,1.777809,1.056215,-0.084093,-1.240621,6.283109
0.020000,1.964191,3.469949,1.798889,1.054037,-0.108906,-1.240618,6.283109
0.020000,1.985219,3.469948,1.819917,1.051363,-0.133718,-1.240615,6.283110
0.020000,2.006183,3.469946,1.840880,1.048192,-0.158530,-1.240612,6.283111
0.020000,2.027073,3.469945,1.861771,1.044525,-0.183342,-1.240609,6.283111
0.020000,2.047880,3.469943,1.882578,1.040362,-0.208155,-1.240607,6.283112
0.020000,2.068594,3.469942,1.903292,1.035703,-0.232967,-1.240604,6.283113
0.020000,2.089205,3.469940,1.923903,1.030547,-0.257779,-1.240601,6.283113
0.020000,2.109703,3.469939,1.944401,1.024896,-0.282591,-1.240599,6.283114
0.020000,2.130078,3.469937,1.964776,1.018748,-0.307403,-1.240596,6.283115
0.020000,2.150320,3.469936,1.985018,1.012103,-0.332214,-1.240594,6.283116
0.020000,2.170420,3.469934,2.005117,1.004963,-0.357026,-1.240591,6.283117
0.020000,2.190366,3.469933,2.025064,0.997326,-0.381838,-1.240589,6.283118
0.020000,2.210150,3.469932,2.044848,0.989193,-0.406650,-1.240586,6.283119
0.020000,2.229761,3.469930,2.064459,0.980564,-0.431461,-1.240584,6.283120
0.020000,2.249190,3.469929,2.083888,0.971438,-0.456273,-1.240582,6.283120
0.020000,2.268426,3.469928,2.103124,0.961817,-0.481085,-1.240579,6.283121
0.020000,2.287460,3.469927,2.122158,0.951699,-0.505896,-1.240577,6.283122
0.020000,2.306282,3.469926,2.140980,0.941085,-0.530708,-1.240575,6.283123
0.020000,2.324881,3.469924,2.159579,0.929974,-0.555519,-1.240573,6.283125
0.020000,2.343249,3.469923,2.177947,0.918368,-0.580331,-1.240571,6.283126
0.020000,2.361379,3.469922,2.196076,0.906485,-0.594126,-0.689770,6.283127
0.020000,2.379270,3.469921,2.213968,0.894575,-0.595515,-0.069463,6.283128
0.020000,2.396923,3.469920,2.231621,0.882664,-0.595514,0.000043,6.283129
0.020000,2.414338,3.469919,2.249036,0.870754,-0.595514,0.000042,6.283130
0.020000,2.431515,3.469918,2.266213,0.858844,-0.595513,0.000042,6.283131
0.020000,2.448454,3.469917,2.283152,0.846934,-0.595512,0.000041,6.283132
0.020000,2.465154,3.469916,2.299852,0.835023,-0.595511,0.000040,6.283133
0.020000,2.481617,3.469916,2.316315,0.823113,-0.595510,0.000040,6.283134
0.020000,2.497841,3.469915,2.332539,0.811203,-0.595510,0.000039,6.283135
0.020000,2.513827,3.469914,2.348524,0.799293,-0.595509,0.000039,6.283136
0.020000,2.529574,3.469913,2.364272,0.787383,-0.595508,0.000038,6.283138
0.020000,2.545084,3.469913,2.379782,0.775473,-0.595507,0.000038,6.283139
0.020000,2.560355,3.469912,2.395053,0.763562,-0.595507,0.000037,6.283140
0.020000,2.575388,3.469911,2.410086,0.751652,-0.595506,0.000036,6.283141
0.020000,2.590183,3.469911,2.424881,0.739742,-0.595505,0.000036,6.283142
0.020000,2.604739,3.469910,2.439437,0.727832,-0.595504,0.000035,6.283143
0.020000,2.619058,3.469909,2.453756,0.715922,-0.595504,0.000035,6.283144
0.020000,2.633138,3.469909,2.467836,0.704012,-0.595503,0.000034,6.283145
0.020000,2.646980,3.469908,2.481678,0.692102,-0.595502,0.000034,6.283147
0.020000,2.660584,3.469908,2.495282,0.680192,-0.595502,0.000033,6.283148
0.020000,2.673950,3.469907,2.508648,0.668282,-0.595501,0.000032,6.283149
0.020000,2.687077,3.469907,2.521775,0.656372,-0.595500,0.000032,6.283150
0.020000,2.699966,3.469906,2.534664,0.644462,-0.595500,0.000031,6.283151
0.020000,2.712617,3.469906,2.547315,0.632552,-0.595499,0.000031,6.283152
0.020000,2.725030,3.469905,2.559728,0.620642,-0.595499,0.000030,6.283153
0.020000,2.737205,3.469905,2.571903,0.608732,-0.595498,0.000030,6.283154
0.020000,2.749141,3.469905,2.583839,0.596822,-0.595497,0.000029,6.283155
0.020000,2.760840,3.469904,2.595537,0.584912,-0.595497,0.000028,6.283156
0.020000,2.772300,3.469904,2.606997,0.573002,-0.595496,0.000028,6.283157
0.020000,2.783521,3.469904,2.618219,0.561092,-0.595496,0.000027,6.283158
0.020000,2.794505,3.469903,2.629203,0.549182,-0.595495,0.000027,6.283159
0.020000,2.805251,3.469903,2.639948,0.537272,-0.595495,0.000026,6.283160
0.020000,2.815758,3.469903,2.650456,0.525363,-0.595494,0.000026,6.283161
0.020000,2.826027,3.469903,2.660725,0.513453,-0.595494,0.000025,6.283162
0.020000,2.836058,3.469902,2.670756,0.501543,-0.595493,0.000024,6.283163
0.020000,2.845850,3.469902,2.680548,0.489633,-0.595493,0.000024,6.283164
0.020000,2.855405,3.469902,2.690103,0.477723,-0.595492,0.000023,6.283165
0.020000,2.864721,3.469902,2.699419,0.465813,-0.595492,0.000023,6.283166
0.020000,2.873799,3.469902,2.708497,0.453904,-0.595491,0.000022,6.283167
0.020000,2.882639,3.469901,2.717337,0.441994,-0.595491,0.000022,6.283168
0.020000,2.891241,3.469901,2.725939,0.430084,-0.595490,0.000021,6.283169
0.020000,2.899604,3.469901,2.734302,0.418174,-0.595490,0.000021,6.283170
0.020000,2.907729,3.469901,2.742427,0.406264,-0.595490,0.000020,6.283170
0.020000,2.915617,3.469901,2.750314,0.394355,-0.595489,0.000019,6.283171
0.020000,2.923265,3.469901,2.757963,0.382445,-0.595489,0.000019,6.283172
0.020000,2.930676,3.469901,2.765374,0.370535,-0.595488,0.000018,6.283173
0.020000,2.937849,3.469901,2.772547,0.358625,-0.595488,0.000018,6.283173
0.020000,2.944783,3.469901,2.779481,0.346715,-0.595488,0.000017,6.283174
0.020000,2.951479,3.469901,2.786177,0.334806,-0.595487,0.000017,6.283175
0.020000,2.957937,3.469900,2.792635,0.322896,-0.595487,0.000016,6.283176
0.020000,2.964157,3.469900,2.798855,0.310986,-0.595487,0.000015,6.283176
0.020000,2.970138,3.469900,2.804836,0.299076,-0.595487,0.000015,6.283177
0.020000,2.975882,3.469900,2.810579,0.287167,-0.595486,0.000014,6.283177
0.020000,2.981387,3.469900,2.816085,0.275257,-0.595486,0.000014,6.283178
0.020000,2.986654,3.469900,2.821352,0.263347,-0.595486,0.000013,6.283179
0.020000,2.991682,3.469900,2.826380,0.251438,-0.595485,0.000013,6.283179
0.020000,2.996473,3.469900,2.831171,0.239528,-0.595485,0.000012,6.283180
0.020000,3.001025,3.469900,2.835723,0.227618,-0.595485,0.000011,6.283180
0.020000,3.005340,3.469900,2.840037,0.215709,-0.595485,0.000011,6.283181
0.020000,3.009416,3.469900,2.844113,0.203799,-0.595485,0.000010,6.283181
0.020000,3.013253,3.469900,2.847951,0.191889,-0.595484,0.000010,6.283181
0.020000,3.016853,3.469900,2.851551,0.179979,-0.595484,0.000009,6.283182
0.020000,3.020214,3.469900,2.854912,0.168070,-0.595484,0.000009,6.283182
0.020000,3.023337,3.469900,2.858035,0.156160,-0.595484,0.000008,6.283183
0.020000,3.026222,3.469900,2.860920,0.144250,-0.595484,0.000007,6.283183
0.020000,3.028874,3.469900,2.863572,0.132561,-0.584468,0.550796,6.283183
0.020000,3.031301,3.469900,2.865998,0.121340,-0.561046,1.171090,6.283183
0.020000,3.033513,3.469900,2.868211,0.110615,-0.536234,1.240595,6.283184
0.020000,3.035521,3.469900,2.870218,0.100387,-0.511422,1.240594,6.283184
0.020000,3.037334,3.469900,2.872032,0.090655,-0.486610,1.240593,6.283184
0.020000,3.038962,3.469900,2.873660,0.081419,-0.461798,1.240593,6.283184
0.020000,3.040416,3.469900,2.875114,0.072679,-0.436987,1.240592,6.283184
0.020000,3.041704,3.469900,2.876402,0.064436,-0.412175,1.240592,6.283185
0.020000,3.042838,3.469900,2.877536,0.056688,-0.387363,1.240591,6.283185
0.020000,3.043827,3.469900,2.878525,0.049437,-0.362551,1.240591,6.283185
0.020000,3.044680,3.469900,2.879378,0.042683,-0.337739,1.240591,6.283185
