dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.165307,3.127155,0.000005,0.000496,0.024813,1.240637,0.000000
0.020000,0.165307,3.127155,0.000025,0.001489,0.049625,1.240637,0.000000
0.020000,0.165307,3.127155,0.000069,0.002978,0.074438,1.240637,0.000000
0.020000,0.165307,3.127155,0.000149,0.004963,0.099251,1.240637,0.000000
0.020000,0.165307,3.127155,0.000273,0.007444,0.124064,1.240637,0.000000
0.020000,0.165307,3.127155,0.000452,0.010421,0.148876,1.240637,0.000000
0.020000,0.165307,3.127155,0.000695,0.013895,0.173689,1.240637,0.000000
0.020000,0.165307,3.127155,0.001012,0.017865,0.198502,1.240637,0.000000
0.020000,0.165307,3.127155,0.001414,0.022331,0.223315,1.240637,0.000000
0.020000,0.165307,3.127155,0.001911,0.027294,0.248127,1.240637,0.000000
0.020000,0.165307,3.127155,0.002511,0.032753,0.272940,1.240637,0.000000
0.020000,0.165650,3.127155,0.003226,0.038708,0.297753,1.240637,6.283185
0.020000,0.166489,3.127155,0.004064,0.045159,0.322566,1.240637,6.283185
0.020000,0.167461,3.127155,0.005037,0.052107,0.347378,1.240637,6.283185
0.020000,0.168578,3.127155,0.006154,0.059551,0.372191,1.240637,6.283185
0.020000,0.169848,3.127155,0.007424,0.067491,0.397004,1.240637,6.283185
0.020000,0.171283,3.127155,0.008858,0.075927,0.421816,1.240637,6.283185
0.020000,0.172891,3.127155,0.010466,0.084860,0.446629,1.240637,6.283184
0.020000,0.174682,3.127155,0.012257,0.094288,0.471442,1.240637,6.283184
0.020000,0.176667,3.127155,0.014243,0.104213,0.496255,1.240637,6.283184
0.020000,0.178855,3.127155,0.016431,0.114635,0.521067,1.240637,6.283184
0.020000,0.181257,3.127155,0.018833,0.125552,0.545880,1.240637,6.283184
0.020000,0.183883,3.127155,0.021458,0.136966,0.570693,1.240637,6.283183
0.020000,0.186741,3.127155,0.024316,0.148876,0.595506,1.240637,6.283183
0.020000,0.189838,3.127155,0.027413,0.160787,0.595506,0.000000,6.283183
0.020000,0.193172,3.127155,0.030748,0.172697,0.595506,-0.000000,6.283182
0.020000,0.196745,3.127155,0.034321,0.184607,0.595506,0.000000,6.283182
0.020000,0.200557,3.127155,0.038132,0.196517,0.595506,-0.000000,6.283181
0.020000,0.204606,3.127155,0.042182,0.208427,0.595506,0.000000,6.283181
0.020000,0.208894,3.127155,0.046469,0.220337,0.595506,-0.000000,6.283180
0.020000,0.213420,3.127155,0.050995,0.232247,0.595506,0.000000,6.283180
0.020000,0.218184,3.127155,0.055759,0.244157,0.595506,-0.000000,6.283179
0.020000,0.223186,3.127155,0.060761,0.256067,0.595506,0.000000,6.283179
0.020000,0.228426,3.127155,0.066002,0.267978,0.595506,0.000000,6.283178
0.020000,0.233905,3.127155,0.071481,0.279888,0.595506,0.000000,6.283178
0.020000,0.239622,3.127155,0.077197,0.291798,0.595506,-0.000000,6.283177
0.020000,0.245577,3.127155,0.083152,0.303708,0.595506,0.000000,6.283177
0.020000,0.251770,3.127155,0.089346,0.315618,0.595506,0.000000,6.283176
0.020000,0.258202,3.127155,0.095777,0.327528,0.595506,0.000000,6.283175
0.020000,0.264871,3.127155,0.102447,0.339438,0.595506,-0.000000,6.283175
0.020000,0.271779,3.127155,0.109355,0.351348,0.595506,0.000000,6.283174
0.020000,0.278925,3.127155,0.116501,0.363258,0.595506,0.000000,6.283173
0.020000,0.286310,3.127155,0.123885,0.375169,0.595506,-0.000000,6.283172
0.020000,0.293932,3.127155,0.131507,0.387079,0.595506,-0.000000,6.283172
0.020000,0.301793,3.127154,0.139368,0.398989,0.595506,0.000000,6.283171
0.020000,0.309892,3.127154,0.147467,0.410899,0.595506,0.000000,6.283170
0.020000,0.318229,3.127154,0.155804,0.422809,0.595506,-0.000000,6.283169
0.020000,0.326804,3.127154,0.164379,0.434719,0.595506,0.000000,6.283168
0.020000,0.335617,3.127154,0.173193,0.446629,0.595506,0.000000,6.283167
0.020000,0.344669,3.127154,0.182245,0.458539,0.595506,-0.000000,6.283166
0.020000,0.353959,3.127154,0.191534,0.470449,0.595506,0.000000,6.283166
0.020000,0.363487,3.127153,0.201063,0.482360,0.595506,-0.000000,6.283165
0.020000,0.373253,3.127153,0.210829,0.494270,0.595506,0.000000,6.283164
0.020000,0.383258,3.127153,0.220833,0.506180,0.595506,-0.000000,6.283163
0.020000,0.393501,3.127153,0.231076,0.518090,0.595506,0.000000,6.283162
0.020000,0.403981,3.127152,0.241557,0.530000,0.595506,0.000000,6.283161
0.020000,0.414701,3.127152,0.252276,0.541910,0.595506,0.000000,6.283160
0.020000,0.425658,3.127152,0.263233,0.553820,0.595506,-0.000000,6.283159
0.020000,0.436853,3.127152,0.274429,0.565730,0.595506,0.000000,6.283158
0.020000,0.448287,3.127151,0.285863,0.577640,0.595506,-0.000000,6.283157
0.020000,0.459959,3.127151,0.297534,0.589551,0.595506,0.000000,6.283156
0.020000,0.471869,3.127151,0.309445,0.601461,0.595506,-0.000000,6.283155
0.020000,0.484017,3.127150,0.321593,0.613371,0.595506,0.000000,6.283153
0.020000,0.496404,3.127150,0.333979,0.625281,0.595506,0.000000,6.283152
0.020000,0.509029,3.127149,0.346604,0.637191,0.595506,0.000000,6.283151
0.020000,0.521892,3.127149,0.359467,0.649101,0.595506,-0.000000,6.283150
0.020000,0.534993,3.127148,0.372568,0.661011,0.595506,0.000000,6.283149
0.020000,0.548332,3.127148,0.385907,0.672921,0.595506,0.000000,6.283148
0.020000,0.561910,3.127147,0.399485,0.684831,0.595506,-0.000000,6.283147
0.020000,0.575725,3.127147,0.413301,0.696742,0.595506,0.000000,6.283146
