dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.165307,2.784255,0.000005,0.000496,0.024813,1.240637,0.000000
0.020000,0.165307,2.784255,0.000005,0.000000,-0.024811,-2.481178,0.000000
0.020000,0.165307,2.784255,0.000005,0.000000,0.000002,1.240661,0.000000
0.020000,0.165307,2.784255,0.000005,0.000000,0.000003,0.000048,0.000000
0.020000,0.165307,2.784255,0.000005,0.000000,0.000004,0.000048,0.000000
0.020000,0.165307,2.784255,0.000005,0.000000,0.000005,0.000048,0.000000
0.020000,0.165307,2.784255,0.000005,0.000000,0.000006,0.000048,0.000000
0.020000,0.165307,2.784255,0.000005,0.000001,0.000007,0.000048,0.000000
0.020000,0.165307,2.784255,0.000005,0.000001,0.000008,0.000048,0.000000
0.020000,0.165307,2.784255,0.000005,0.000001,0.000009,0.000047,0.000000
0.020000,0.165307,2.784255,0.000005,0.000001,0.000010,0.000047,0.000000
0.020000,0.165650,2.784255,0.000348,0.017147,0.857280,42.863498,6.283185
0.020000,0.166489,2.784255,0.001187,0.041932,1.239258,19.098881,6.283185
0.020000,0.167461,2.784255,0.002159,0.048631,0.334959,-45.214926,6.283185
0.020000,0.168578,2.784255,0.003276,0.055827,0.359771,1.240590,6.283185
0.020000,0.169848,2.784255,0.004546,0.063518,0.384583,1.240591,6.283185
0.020000,0.171282,2.784255,0.005980,0.071706,0.409395,1.240591,6.283185
0.020000,0.172890,2.784255,0.007588,0.080390,0.434206,1.240592,6.283184
0.020000,0.174682,2.784255,0.009379,0.089571,0.459018,1.240592,6.283184
0.020000,0.176667,2.784255,0.011364,0.099247,0.483830,1.240593,6.283184
0.020000,0.178855,2.784255,0.013553,0.109420,0.508642,1.240593,6.283184
0.020000,0.181257,2.784255,0.015955,0.120089,0.533454,1.240594,6.283184
0.020000,0.183882,2.784255,0.018580,0.131254,0.558266,1.240595,6.283183
0.020000,0.186740,2.784255,0.021438,0.142916,0.583078,1.240596,6.283183
0.020000,0.189837,2.784255,0.024535,0.154826,0.595484,0.620302,6.283183
